[1510409874, 1.9952623149688795, -57, 111, 167, '0x0', 30]
[1510409878, 0.7943282347242815, -49, 111, 171, '0x0', 30]
[1510409882, 3.1622776601683795, -61, 111, 175, '0x0', 30]
[1510409884, 1.2589254117941673, -53, 111, 177, '0x0', 30]
[1510409886, 1.1220184543019633, -52, 111, 179, '0x0', 30]
[1510409888, 2.51188643150958, -59, 111, 181, '0x0', 30]
[1510409890, 1.2589254117941673, -53, 111, 183, '0x0', 30]
[1510409892, 1.9952623149688795, -57, 111, 185, '0x0', 30]
[1510409894, 1.0, -51, 111, 187, '0x0', 30]
[1510409896, 0.7943282347242815, -49, 111, 189, '0x0', 30]
[1510409898, 3.1622776601683795, -61, 111, 191, '0x0', 30]
[1510409900, 0.5623413251903491, -46, 111, 193, '0x0', 30]
[1510409902, 1.0, -51, 111, 195, '0x0', 30]
[1510409906, 0.6309573444801932, -47, 111, 199, '0x0', 30]
[1510409924, 0.5011872336272722, -45, 111, 217, '0x0', 30]
[1510409927, 1.4125375446227544, -54, 111, 219, '0x0', 30]
[1510409929, 5.623413251903491, -66, 111, 221, '0x0', 30]
[1510409931, 0.7943282347242815, -49, 111, 223, '0x0', 30]
[1510409933, 0.7079457843841379, -48, 111, 225, '0x0', 30]
[1510409939, 31.622776601683793, -81, 111, 231, '0x0', 30]
[1510409943, 8.912509381337454, -70, 111, 235, '0x0', 30]
[1510409945, 10.0, -71, 111, 237, '0x0', 30]
[1510409947, 3.9810717055349722, -63, 111, 239, '0x0', 30]
[1510409949, 0.8912509381337456, -50, 111, 241, '0x0', 30]
[1510409951, 0.7943282347242815, -49, 111, 243, '0x0', 30]
[1510409953, 1.9952623149688795, -57, 111, 245, '0x0', 30]
[1510409957, 0.6309573444801932, -47, 111, 249, '0x0', 30]
[1510409959, 1.7782794100389228, -56, 111, 254, '0x80', 30]
[1510409959, 0.7943282347242815, -49, 111, 254, '0x80', 30]
[1510409959, 0.251188643150958, -39, 111, 254, '0x80', 30]
[1510409960, 1.4125375446227544, -54, 111, 254, '0x80', 30]
[1510409960, 1.4125375446227544, -54, 111, 254, '0x80', 30]
[1510409961, 1.2589254117941673, -53, 111, 255, '0x0', 30]
[1510409963, 0.3981071705534972, -43, 111, 255, '0x0', 30]
[1510409965, 0.31622776601683794, -41, 111, 1, '0x0', 30]
[1510409967, 1.2589254117941673, -53, 111, 3, '0x0', 30]
[1510409969, 0.5011872336272722, -45, 111, 5, '0x0', 30]
[1510409971, 1.2589254117941673, -53, 111, 7, '0x0', 30]
[1510409973, 0.7079457843841379, -48, 111, 9, '0x0', 30]
[1510409975, 2.51188643150958, -59, 111, 11, '0x0', 30]
